epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,302.579,1.33156,1.01302,1.08743,0.72859,0.31844,0.34099,0.16681,1.9898,2.25221,1.38832,0.000217947,0.000217947,0.000217947
70,306.927,1.32672,0.9969,1.08622,0.79653,0.30669,0.3382,0.16349,2.00059,2.20096,1.37197,0.000206133,0.000206133,0.000206133
71,311.246,1.32284,1.01008,1.07919,0.67315,0.34148,0.37153,0.17272,1.93954,2.17187,1.36657,0.000194568,0.000194568,0.000194568
72,315.495,1.33202,1.01605,1.08873,0.70454,0.31691,0.36842,0.17767,1.91665,2.16038,1.392,0.000183264,0.000183264,0.000183264
73,319.792,1.31902,1.02144,1.0768,0.7382,0.29968,0.34276,0.17372,1.93927,2.21,1.37295,0.000172233,0.000172233,0.000172233
74,324.06,1.34603,1.04614,1.09695,0.84354,0.28882,0.35576,0.16645,1.97782,2.16185,1.39238,0.000161484,0.000161484,0.000161484
75,328.316,1.28683,0.95932,1.06713,0.89074,0.30745,0.37743,0.189,1.94609,2.1573,1.3763,0.00015103,0.00015103,0.00015103
76,332.627,1.28585,0.95385,1.06787,0.75176,0.3304,0.38076,0.18417,1.88459,2.12757,1.37015,0.000140879,0.000140879,0.000140879
77,336.949,1.30148,0.96738,1.07561,0.6968,0.33808,0.34913,0.16301,1.91987,2.22129,1.38295,0.000131042,0.000131042,0.000131042
78,341.253,1.28575,0.95979,1.06654,0.67046,0.33248,0.35534,0.17225,1.93613,2.20546,1.36582,0.000121529,0.000121529,0.000121529
79,345.675,1.31335,0.97789,1.07064,0.58772,0.36626,0.3572,0.18446,2.03982,2.22645,1.40281,0.000112349,0.000112349,0.000112349
80,350.049,1.3264,0.97781,1.07367,0.75546,0.32636,0.37694,0.18591,1.96561,2.18384,1.389,0.000103511,0.000103511,0.000103511
81,354.336,1.27039,0.93614,1.06015,0.75057,0.32873,0.3862,0.19385,1.97207,2.17152,1.39869,9.50238e-05,9.50238e-05,9.50238e-05
82,358.668,1.28417,0.97443,1.07503,0.73087,0.33125,0.38553,0.1936,1.92199,2.15035,1.38364,8.6896e-05,8.6896e-05,8.6896e-05
83,362.917,1.26159,0.94762,1.05387,0.73881,0.32752,0.38618,0.19273,1.90784,2.14094,1.37487,7.91354e-05,7.91354e-05,7.91354e-05
84,367.233,1.2731,0.96688,1.06335,0.81484,0.32068,0.38518,0.19278,1.90897,2.16919,1.37534,7.17498e-05,7.17498e-05,7.17498e-05
85,371.621,1.26207,0.95252,1.05772,0.81756,0.33499,0.3754,0.18425,1.96854,2.20035,1.39309,6.47464e-05,6.47464e-05,6.47464e-05
86,375.827,1.26635,0.95135,1.05495,0.6774,0.33888,0.37703,0.18912,1.97652,2.2043,1.39614,5.81322e-05,5.81322e-05,5.81322e-05
87,380.232,1.26198,0.94735,1.05425,0.65911,0.34866,0.38204,0.18788,2.01249,2.20343,1.39388,5.19135e-05,5.19135e-05,5.19135e-05
88,384.56,1.27413,0.96904,1.06846,0.68542,0.34739,0.38751,0.18839,2.02091,2.18577,1.38617,4.60967e-05,4.60967e-05,4.60967e-05
89,388.886,1.24089,0.92348,1.05345,0.58775,0.34756,0.37974,0.18615,2.05786,2.22349,1.39701,4.06874e-05,4.06874e-05,4.06874e-05
90,393.179,1.27679,0.94649,1.06302,0.68871,0.32775,0.37187,0.18161,2.06623,2.22315,1.39863,3.5691e-05,3.5691e-05,3.5691e-05
91,443.212,1.57993,1.79784,1.25929,0.67355,0.34015,0.378,0.18796,2.02335,2.21919,1.39141,3.11124e-05,3.11124e-05,3.11124e-05
92,447.903,1.47345,1.63206,1.2267,0.64467,0.32179,0.36085,0.17731,2.02436,2.25915,1.38607,2.69561e-05,2.69561e-05,2.69561e-05
93,452.414,1.49431,1.59654,1.22724,0.70714,0.31928,0.37062,0.17876,2.00361,2.19918,1.37903,2.32262e-05,2.32262e-05,2.32262e-05
94,456.814,1.4579,1.53014,1.21041,0.73936,0.31932,0.38813,0.18664,1.94161,2.16569,1.36383,1.99264e-05,1.99264e-05,1.99264e-05
95,461.221,1.44174,1.5142,1.21058,0.79789,0.30138,0.38464,0.1829,1.95121,2.16781,1.3627,1.70599e-05,1.70599e-05,1.70599e-05
96,465.394,1.41712,1.49762,1.19817,0.76823,0.3139,0.38908,0.18437,1.94706,2.16974,1.35984,1.46297e-05,1.46297e-05,1.46297e-05
97,469.616,1.45523,1.52306,1.20985,0.65401,0.33945,0.38562,0.18543,1.95005,2.1426,1.35697,1.2638e-05,1.2638e-05,1.2638e-05
98,473.826,1.42915,1.53908,1.21936,0.70788,0.3326,0.38911,0.18386,1.96453,2.13166,1.3618,1.10869e-05,1.10869e-05,1.10869e-05
99,477.977,1.41499,1.47248,1.20206,0.64588,0.35003,0.39052,0.18808,1.96383,2.12502,1.36242,9.97788e-06,9.97788e-06,9.97788e-06
100,482.159,1.41194,1.49853,1.19728,0.64407,0.34239,0.38308,0.18443,2.00298,2.13056,1.36789,9.31203e-06,9.31203e-06,9.31203e-06
